# Program:featureCounts v2.0.1; Command:"featureCounts" "U16_2.bam" "-a" "Hd2_provirus_loci_IVSPER2.gtf" "-o" "U16_2.Hd2_provirus_loci_IVSPER2.counts.txt" "-t" "EVE" "-g" "ID" "-C" "-p" "-s" "0" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	U16_2.bam
Hd26	HD2_scaffold_1	13523617	13528634	+	5018	20430
Hd38	HD2_scaffold_1	20666612	20670275	+	3664	16950
Hd36	HD2_scaffold_1	20670791	20674528	+	3738	8371
Hd50	HD2_scaffold_1	27247704	27253490	+	5787	4849
Hd49	HD2_scaffold_2	2124324	2129588	+	5265	13302
IVSP_U37	HD2_scaffold_2	2735040	2736878	+	1839	1862
Hd46	HD2_scaffold_2	2737536	2741644	+	4109	6004
Hd43	HD2_scaffold_2	2744162	2748320	+	4159	8097
Hd22	HD2_scaffold_2	5839467	5843644	+	4178	4273
Hd44.1	HD2_scaffold_2	16284645	16287653	+	3009	3072
Hd44.2	HD2_scaffold_2	16289605	16294435	+	4831	3984
Hd30	HD2_scaffold_3	419458	423621	+	4164	24790
Hd48	HD2_scaffold_3	16689745	16699417	+	9673	9811
Hd19	HD2_scaffold_4	6231095	6235534	+	4440	6908
Hd41	HD2_scaffold_4	12119882	12127834	+	7953	18687
Hd45.2	HD2_scaffold_4	12329917	12331967	+	2051	777
Hd45.1	HD2_scaffold_4	15910208	15914421	+	4214	1964
Hd13	HD2_scaffold_5	5876265	5882021	+	5757	10733
Hd40	HD2_scaffold_6	2988772	2992265	+	3494	1834
Hd9	HD2_scaffold_6	7229774	7247665	+	17892	18682
IVSP_U42*	HD2_scaffold_6	9084542	9085630	+	1089	612
Hd1	HD2_scaffold_6	11708977	11723747	+	14771	37405
Hd31-34	HD2_scaffold_6	11868292	11872410	+	4119	17528
IVSP_U38*	HD2_scaffold_7	4768418	4770145	+	1728	967
Hd27	HD2_scaffold_7	6697648	6701649	+	4002	33035
Hd52*	HD2_scaffold_7	6772399	6776469	+	4071	3991
Hd5	HD2_scaffold_7	7084945	7098657	+	13713	19885
Hd47	HD2_scaffold_7	7900815	7905317	+	4503	6454
IVSPER-5	HD2_scaffold_7	9178274	9179903	+	1630	878
IVSPER-3	HD2_scaffold_7	9252903	9278334	+	25432	62187
IVSP_U39*	HD2_scaffold_7	11747266	11750520	+	3255	3644
IVSPER-4	HD2_scaffold_7	13191258	13207069	+	15812	14006
Hd7	HD2_scaffold_7	13968918	13976983	+	8066	6533
Hd2	HD2_scaffold_7	14085672	14099608	+	13937	33190
Hd6	HD2_scaffold_7	14221056	14231516	+	10461	18120
similar to Hd2	HD2_scaffold_7	14388343	14389879	+	1537	6789
Hd20	HD2_scaffold_8	1942407	1949270	+	6864	8442
Hd8	HD2_scaffold_8	6823745	6831100	+	7356	12151
Hd4	HD2_scaffold_8	7097009	7107334	+	10326	29877
Hd17	HD2_scaffold_8	9012106	9019835	+	7730	13693
Hd54*	HD2_scaffold_8	9214207	9220125	+	5919	9683
Hd18	HD2_scaffold_8	9364794	9369489	+	4696	17056
IVSP_U40*	HD2_scaffold_9	5723866	5725782	+	1917	1332
Hd39	HD2_scaffold_9	5744955	5749076	+	4122	6534
IVSP_U41*	HD2_scaffold_9	7049476	7051946	+	2471	1293
Hd23.2	HD2_scaffold_10	3553203	3556564	+	3362	2384
Hd23.1	HD2_scaffold_10	3592527	3596983	+	4457	6219
Hd25	HD2_scaffold_10	9399172	9403345	+	4174	7589
Hd10	HD2_scaffold_11	453966	460472	+	6507	11981
Hd11	HD2_scaffold_11	768148	777337	+	9190	16486
Hd16	HD2_scaffold_11	2262941	2270644	+	7704	47906
Hd12	HD2_scaffold_11	2280031	2285932	+	5902	7570
Hd29	HD2_scaffold_11	3146273	3150628	+	4356	13884
IVSPER-2	HD2_scaffold_11	3155228	3181838	+	26611	39721
Hd24	HD2_scaffold_11	3182748	3187444	+	4697	7021
Hd33	HD2_scaffold_11	3234245	3238079	+	3835	5356
Hd15	HD2_scaffold_11	3249051	3254037	+	4987	15310
IVSPER-1	HD2_scaffold_11	3255266	3269285	+	14020	19774
Hd14	HD2_scaffold_11	3759577	3764772	+	5196	7494
Hd32	HD2_scaffold_11	3811943	3819858	+	7916	16210
Hd42	HD2_scaffold_11	6043764	6046920	+	3157	2719
Hd21	HD2_scaffold_11	6076348	6080715	+	4368	8697
Hd53*	HD2_scaffold_11	6184778	6190126	+	5349	5523
Hd3	HD2_scaffold_11	6685111	6695124	+	10014	45693
Hd37	HD2_scaffold_11	6786206	6789913	+	3708	5582
Hd28	HD2_scaffold_12	308843	313456	+	4614	2299
Hd35	HD2_scaffold_12	2941876	2945585	+	3710	16898
