# Program:featureCounts v2.0.1; Command:"featureCounts" "../GFP_2.bam" "-a" "Hd2_EVErep.randoms.gff" "-o" "GFP_2.Hd2_EVErep.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../GFP_2.bam
random1	HD2_scaffold_332	738	5755	+	5018	397
random2	HD2_scaffold_7	5992302	5995965	+	3664	647
random3	HD2_scaffold_3	20241332	20245069	+	3738	575
random4	HD2_scaffold_257	6466	12252	+	5787	1300
random5	HD2_scaffold_3	5794084	5799348	+	5265	1121
random6	HD2_scaffold_2	21237658	21241766	+	4109	780
random7	HD2_scaffold_8	9466517	9470675	+	4159	1043
random8	HD2_scaffold_17	41640	45817	+	4178	611
random9	HD2_scaffold_4	1326821	1329829	+	3009	766
random10	HD2_scaffold_10	4273299	4278129	+	4831	1039
random11	HD2_scaffold_12	4164660	4168823	+	4164	663
random12	HD2_scaffold_4	14377630	14387302	+	9673	2048
random13	HD2_scaffold_193	6282	10721	+	4440	820
random14	HD2_scaffold_1	16330332	16338284	+	7953	1483
random15	HD2_scaffold_1	26011805	26013855	+	2051	406
random16	HD2_scaffold_8	4637727	4641940	+	4214	890
random17	HD2_scaffold_7	13407392	13413148	+	5757	1079
random18	HD2_scaffold_5	7474149	7477642	+	3494	870
random19	HD2_scaffold_1	1437395	1455286	+	17892	3141
random20	HD2_scaffold_1	11675024	11689794	+	14771	2423
random21	HD2_scaffold_2	22594845	22598963	+	4119	875
random22	HD2_scaffold_1	12837097	12841098	+	4002	849
random23	HD2_scaffold_1	18940608	18944678	+	4071	682
random24	HD2_scaffold_4	8083503	8097215	+	13713	2653
random25	HD2_scaffold_7	13609309	13613811	+	4503	953
random26	HD2_scaffold_2	13909915	13917980	+	8066	1822
random27	HD2_scaffold_5	11100726	11114662	+	13937	2642
random28	HD2_scaffold_40	38274	48734	+	10461	858
random29	HD2_scaffold_2	10171607	10173143	+	1537	303
random30	HD2_scaffold_4	1228545	1235408	+	6864	1399
random31	HD2_scaffold_3	8848893	8856248	+	7356	1522
random32	HD2_scaffold_1	23429177	23439502	+	10326	1965
random33	HD2_scaffold_4	2668543	2676272	+	7730	1618
random34	HD2_scaffold_8	1636673	1642591	+	5919	1266
random35	HD2_scaffold_11	1919705	1924400	+	4696	939
random36	HD2_scaffold_6	6457432	6461553	+	4122	912
random37	HD2_scaffold_3	1455178	1458539	+	3362	646
random38	HD2_scaffold_9	5388312	5392768	+	4457	875
random39	HD2_scaffold_2	13851103	13855276	+	4174	959
