# Program:featureCounts v2.0.1; Command:"featureCounts" "U16_2.bam" "-a" "Hd2_broadpeaks.gtf" "-o" "U16_2.Hd2_broadpeaks.counts.txt" "-t" "MACS2 peak" "-g" "peak" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	U16_2.bam
Hd26	HD2_scaffold_1	13517317	13534392	+	17076	24734
Hd38	HD2_scaffold_1	20656417	20681709	+	25293	33470
Hd36	HD2_scaffold_1	20656417	20681709	+	25293	33470
Hd50	HD2_scaffold_1	27241046	27259533	+	18488	9426
Hd49	HD2_scaffold_2	2117165	2135110	+	17946	18010
IVSP_U37	HD2_scaffold_2	2728207	2758008	+	29802	33913
Hd46	HD2_scaffold_2	2728207	2758008	+	29802	33913
Hd43	HD2_scaffold_2	2728207	2758008	+	29802	33913
Hd22	HD2_scaffold_2	5832207	5850065	+	17859	9403
Hd44.1	HD2_scaffold_2	16278981	16302690	+	23710	13080
Hd44.2	HD2_scaffold_2	16278981	16302690	+	23710	13080
Hd30	HD2_scaffold_3	410434	429813	+	19380	31746
Hd48	HD2_scaffold_3	16679121	16706535	+	27415	16767
Hd19	HD2_scaffold_4	6229498	6243248	+	13751	10615
Hd41	HD2_scaffold_4	12113372	12135096	+	21725	23899
Hd45.2	HD2_scaffold_4	12321418	12340715	+	19298	7265
Hd13	HD2_scaffold_5	5869105	5889886	+	20782	16426
Hd40	HD2_scaffold_6	2983699	2997266	+	13568	5272
Hd9	HD2_scaffold_6	7223110	7254609	+	31500	23955
IVSP_U42*	HD2_scaffold_6	9075600	9095671	+	20072	7501
Hd1	HD2_scaffold_6	11702950	11728752	+	25803	42148
Hd31-34	HD2_scaffold_6	11862430	11878832	+	16403	21856
IVSP_U38*	HD2_scaffold_7	4758477	4776797	+	18321	7838
Hd27	HD2_scaffold_7	6688177	6708677	+	20501	39669
Hd52*	HD2_scaffold_7	6765613	6783734	+	18122	8866
Hd5	HD2_scaffold_7	7078958	7104504	+	25547	25405
Hd47	HD2_scaffold_7	7894307	7912018	+	17712	10951
IVSPER-5	HD2_scaffold_7	9168108	9191030	+	22923	8918
IVSPER-3	HD2_scaffold_7	9243166	9287918	+	44753	77028
IVSP_U39*	HD2_scaffold_7	11738062	11764025	+	25964	16185
IVSPER-4	HD2_scaffold_7	13176550	13216107	+	39558	25549
Hd7	HD2_scaffold_7	13965551	13978603	+	13053	8248
Hd2	HD2_scaffold_7	14079432	14106161	+	26730	39351
Hd6	HD2_scaffold_7	14218171	14238167	+	19997	21663
Hd20	HD2_scaffold_8	1934960	1956552	+	21593	14063
Hd8	HD2_scaffold_8	6818165	6837954	+	19790	16655
Hd4	HD2_scaffold_8	7090110	7114242	+	24133	35569
Hd17	HD2_scaffold_8	9006318	9026009	+	19692	17838
Hd54*	HD2_scaffold_8	9208814	9228042	+	19229	14869
Hd18	HD2_scaffold_8	9360612	9376778	+	16167	21335
IVSP_U40*	HD2_scaffold_9	5714059	5757032	+	42974	24095
Hd39	HD2_scaffold_9	5714059	5757032	+	42974	24095
IVSP_U41*	HD2_scaffold_9	7040265	7060018	+	19754	7827
Hd23.2	HD2_scaffold_10	3545352	3561495	+	16144	7664
Hd23.1	HD2_scaffold_10	3587203	3605012	+	17810	11296
Hd25	HD2_scaffold_10	9393559	9412007	+	18449	12582
Hd10	HD2_scaffold_11	447712	465323	+	17612	16189
Hd11	HD2_scaffold_11	764311	783916	+	19606	20463
Hd16	HD2_scaffold_11	2257264	2292899	+	35636	64488
Hd12	HD2_scaffold_11	2257264	2292899	+	35636	64488
Hd29	HD2_scaffold_11	3139131	3193136	+	54006	72342
IVSPER-2	HD2_scaffold_11	3139131	3193136	+	54006	72342
Hd24	HD2_scaffold_11	3139131	3193136	+	54006	72342
Hd33	HD2_scaffold_11	3229681	3277203	+	47523	54550
Hd15	HD2_scaffold_11	3229681	3277203	+	47523	54550
IVSPER-1	HD2_scaffold_11	3229681	3277203	+	47523	54550
Hd14	HD2_scaffold_11	3753870	3770377	+	16508	11544
Hd32	HD2_scaffold_11	3807216	3823379	+	16164	19600
Hd42	HD2_scaffold_11	6039490	6052307	+	12818	5877
Hd21	HD2_scaffold_11	6067122	6086904	+	19783	14637
Hd53*	HD2_scaffold_11	6177710	6199505	+	21796	11503
Hd3	HD2_scaffold_11	6678585	6701155	+	22571	50776
Hd37	HD2_scaffold_11	6779687	6795693	+	16007	9534
Hd28	HD2_scaffold_12	305632	316324	+	10693	4320
Hd35	HD2_scaffold_12	2935430	2954029	+	18600	23240
