# Program:featureCounts v2.0.1; Command:"featureCounts" "../U16_2.bam" "-a" "Hd2_EVErep.randoms.gff" "-o" "U16_2.Hd2_EVErep.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../U16_2.bam
random1	HD2_scaffold_332	738	5755	+	5018	753
random2	HD2_scaffold_7	5992302	5995965	+	3664	1119
random3	HD2_scaffold_3	20241332	20245069	+	3738	1096
random4	HD2_scaffold_257	6466	12252	+	5787	1886
random5	HD2_scaffold_3	5794084	5799348	+	5265	1773
random6	HD2_scaffold_2	21237658	21241766	+	4109	1521
random7	HD2_scaffold_8	9466517	9470675	+	4159	1582
random8	HD2_scaffold_17	41640	45817	+	4178	1095
random9	HD2_scaffold_4	1326821	1329829	+	3009	1164
random10	HD2_scaffold_10	4273299	4278129	+	4831	1681
random11	HD2_scaffold_12	4164660	4168823	+	4164	1296
random12	HD2_scaffold_4	14377630	14387302	+	9673	3299
random13	HD2_scaffold_193	6282	10721	+	4440	961
random14	HD2_scaffold_1	16330332	16338284	+	7953	2553
random15	HD2_scaffold_1	26011805	26013855	+	2051	706
random16	HD2_scaffold_8	4637727	4641940	+	4214	1455
random17	HD2_scaffold_7	13407392	13413148	+	5757	1781
random18	HD2_scaffold_5	7474149	7477642	+	3494	1227
random19	HD2_scaffold_1	1437395	1455286	+	17892	5514
random20	HD2_scaffold_1	11675024	11689794	+	14771	4635
random21	HD2_scaffold_2	22594845	22598963	+	4119	1443
random22	HD2_scaffold_1	12837097	12841098	+	4002	1385
random23	HD2_scaffold_1	18940608	18944678	+	4071	1293
random24	HD2_scaffold_4	8083503	8097215	+	13713	4427
random25	HD2_scaffold_7	13609309	13613811	+	4503	1542
random26	HD2_scaffold_2	13909915	13917980	+	8066	2806
random27	HD2_scaffold_5	11100726	11114662	+	13937	4089
random28	HD2_scaffold_40	38274	48734	+	10461	1109
random29	HD2_scaffold_2	10171607	10173143	+	1537	543
random30	HD2_scaffold_4	1228545	1235408	+	6864	2198
random31	HD2_scaffold_3	8848893	8856248	+	7356	2506
random32	HD2_scaffold_1	23429177	23439502	+	10326	3167
random33	HD2_scaffold_4	2668543	2676272	+	7730	2540
random34	HD2_scaffold_8	1636673	1642591	+	5919	2060
random35	HD2_scaffold_11	1919705	1924400	+	4696	1377
random36	HD2_scaffold_6	6457432	6461553	+	4122	1598
random37	HD2_scaffold_3	1455178	1458539	+	3362	1163
random38	HD2_scaffold_9	5388312	5392768	+	4457	1484
random39	HD2_scaffold_2	13851103	13855276	+	4174	1452
random40	HD2_scaffold_4	11494778	11501284	+	6507	2275
random41	HD2_scaffold_3	10820380	10829569	+	9190	2890
random42	HD2_scaffold_12	6363272	6370975	+	7704	2500
random43	HD2_scaffold_9	1690354	1696255	+	5902	1928
random44	HD2_scaffold_11	2422481	2426836	+	4356	1394
random45	HD2_scaffold_1	2179662	2184358	+	4697	1641
random46	HD2_scaffold_2	11222532	11226366	+	3835	1279
random47	HD2_scaffold_2	11427185	11432171	+	4987	1679
random48	HD2_scaffold_3	13605758	13610953	+	5196	1684
random49	HD2_scaffold_25	40194	48109	+	7916	3096
random50	HD2_scaffold_2	4509436	4512592	+	3157	1178
random51	HD2_scaffold_3	3942190	3946557	+	4368	1387
random52	HD2_scaffold_3	20826448	20831796	+	5349	2262
random53	HD2_scaffold_11	1836705	1846718	+	10014	3266
random54	HD2_scaffold_9	12099655	12103362	+	3708	1215
random55	HD2_scaffold_6	5120063	5124676	+	4614	2282
random56	HD2_scaffold_9	6850485	6854194	+	3710	1148
random57	HD2_scaffold_9	5825005	5830022	+	5018	1773
random58	HD2_scaffold_6	1431967	1435630	+	3664	1024
random59	HD2_scaffold_1	6466982	6470719	+	3738	1305
random60	HD2_scaffold_4	12177446	12183232	+	5787	1843
random61	HD2_scaffold_225	9155	14419	+	5265	1433
random62	HD2_scaffold_4	3886203	3890311	+	4109	1451
random63	HD2_scaffold_12	6580454	6584612	+	4159	1365
random64	HD2_scaffold_10	4197396	4201573	+	4178	1373
