# Program:featureCounts v2.0.1; Command:"featureCounts" "../GFP_4.bam" "-a" "Hd2_IVSPER2.randoms.gff" "-o" "GFP_4.Hd2_IVSPER2.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../GFP_4.bam
random1	HD2_scaffold_6	4699611	4701449	+	1839	419
random2	HD2_scaffold_11	2077930	2079018	+	1089	240
random3	HD2_scaffold_1	28423600	28425327	+	1728	570
random4	HD2_scaffold_1	29139546	29141175	+	1630	534
random5	HD2_scaffold_4	11982158	12007589	+	25432	4507
random6	HD2_scaffold_2	6875849	6879103	+	3255	612
random7	HD2_scaffold_3	11948481	11964292	+	15812	2497
random8	HD2_scaffold_7	7185387	7187303	+	1917	375
random9	HD2_scaffold_4	320891	323361	+	2471	465
random10	HD2_scaffold_34	14864	41474	+	26611	13352
random11	HD2_scaffold_1	24639844	24653863	+	14020	2756
random12	HD2_scaffold_3	14691829	14693667	+	1839	446
random13	HD2_scaffold_5	2152136	2153224	+	1089	292
random14	HD2_scaffold_8	4422868	4424595	+	1728	397
random15	HD2_scaffold_3	17841947	17843576	+	1630	326
random16	HD2_scaffold_4	10390933	10416364	+	25432	4937
random17	HD2_scaffold_15	41053	44307	+	3255	2973
random18	HD2_scaffold_2	10399797	10415608	+	15812	2733
random19	HD2_scaffold_3	12333179	12335095	+	1917	371
random20	HD2_scaffold_7	9098808	9101278	+	2471	544
random21	HD2_scaffold_5	8240168	8266778	+	26611	5055
random22	HD2_scaffold_69	24293	38312	+	14020	9337
random23	HD2_scaffold_9	12096038	12097876	+	1839	465
random24	HD2_scaffold_12	3450643	3451731	+	1089	194
random25	HD2_scaffold_166	10779	12506	+	1728	399
random26	HD2_scaffold_1	12683527	12685156	+	1630	354
random27	HD2_scaffold_7	10527115	10552546	+	25432	4700
random28	HD2_scaffold_8	6367114	6370368	+	3255	693
random29	HD2_scaffold_3	8519535	8535346	+	15812	2973
random30	HD2_scaffold_5	7348523	7350439	+	1917	401
random31	HD2_scaffold_11	3346209	3348679	+	2471	469
random32	HD2_scaffold_6	14213298	14239908	+	26611	4816
random33	HD2_scaffold_4	5157868	5171887	+	14020	2709
random34	HD2_scaffold_184	11398	13236	+	1839	4306
random35	HD2_scaffold_3	19988206	19989294	+	1089	36
random36	HD2_scaffold_5	10674600	10676327	+	1728	367
random37	HD2_scaffold_7	4582875	4584504	+	1630	337
random38	HD2_scaffold_6	12645970	12671401	+	25432	4915
random39	HD2_scaffold_9	2926802	2930056	+	3255	678
random40	HD2_scaffold_9	8645337	8661148	+	15812	2624
random41	HD2_scaffold_9	3884271	3886187	+	1917	336
random42	HD2_scaffold_1	2878928	2881398	+	2471	293
random43	HD2_scaffold_2	6717051	6743661	+	26611	4831
random44	HD2_scaffold_5	12987261	13001280	+	14020	2055
random45	HD2_scaffold_2	13803593	13805431	+	1839	438
random46	HD2_scaffold_2	15159033	15160121	+	1089	267
random47	HD2_scaffold_1	1691112	1692839	+	1728	184
random48	HD2_scaffold_1	20761001	20762630	+	1630	323
random49	HD2_scaffold_11	1229674	1255105	+	25432	4652
random50	HD2_scaffold_4	1857674	1860928	+	3255	628
random51	HD2_scaffold_9	12094859	12110670	+	15812	3213
random52	HD2_scaffold_4	5282750	5284666	+	1917	372
random53	HD2_scaffold_5	8500201	8502671	+	2471	577
random54	HD2_scaffold_5	4746524	4773134	+	26611	4846
random55	HD2_scaffold_1	17326560	17340579	+	14020	3541
random56	HD2_scaffold_1	10839709	10841547	+	1839	371
random57	HD2_scaffold_4	9108072	9109160	+	1089	302
random58	HD2_scaffold_2	22626379	22628106	+	1728	397
random59	HD2_scaffold_8	12140787	12142416	+	1630	408
random60	HD2_scaffold_1	7137240	7162671	+	25432	4584
random61	HD2_scaffold_7	3903549	3906803	+	3255	663
random62	HD2_scaffold_8	9611160	9626971	+	15812	2750
random63	HD2_scaffold_6	10795884	10797800	+	1917	276
random64	HD2_scaffold_6	11490074	11492544	+	2471	523
random65	HD2_scaffold_10	6704855	6731465	+	26611	4935
random66	HD2_scaffold_11	584830	598849	+	14020	2603
random67	HD2_scaffold_376	8526	10364	+	1839	509
random68	HD2_scaffold_1	27199843	27200931	+	1089	252
random69	HD2_scaffold_8	1023712	1025439	+	1728	345
random70	HD2_scaffold_4	13026256	13027885	+	1630	305
random71	HD2_scaffold_5	11915450	11940881	+	25432	4759
random72	HD2_scaffold_10	2000434	2003688	+	3255	607
random73	HD2_scaffold_10	2301037	2316848	+	15812	2844
random74	HD2_scaffold_9	5923748	5925664	+	1917	438
random75	HD2_scaffold_8	5689450	5691920	+	2471	471
random76	HD2_scaffold_1	24595899	24622509	+	26611	5142
random77	HD2_scaffold_3	18247163	18261182	+	14020	2606
random78	HD2_scaffold_7	3088251	3090089	+	1839	382
random79	HD2_scaffold_8	9996649	9997737	+	1089	227
random80	HD2_scaffold_5	3195250	3196977	+	1728	364
random81	HD2_scaffold_6	8247175	8248804	+	1630	316
random82	HD2_scaffold_2	3547385	3572816	+	25432	4255
random83	HD2_scaffold_1	11874856	11878110	+	3255	577
random84	HD2_scaffold_4	8860739	8876550	+	15812	2905
random85	HD2_scaffold_1	19238879	19240795	+	1917	382
random86	HD2_scaffold_2	4435867	4438337	+	2471	470
random87	HD2_scaffold_1	1592295	1618905	+	26611	3307
random88	HD2_scaffold_9	3269937	3283956	+	14020	2583
random89	HD2_scaffold_7	11727714	11729552	+	1839	382
random90	HD2_scaffold_7	4794061	4795149	+	1089	207
random91	HD2_scaffold_7	10761775	10763502	+	1728	367
random92	HD2_scaffold_10	11261159	11262788	+	1630	150
random93	HD2_scaffold_3	2988316	3013747	+	25432	5230
random94	HD2_scaffold_12	1263231	1266485	+	3255	524
random95	HD2_scaffold_1	2978816	2994627	+	15812	2632
random96	HD2_scaffold_70	1036	2952	+	1917	629
random97	HD2_scaffold_3	4247149	4249619	+	2471	400
random98	HD2_scaffold_6	8968416	8995026	+	26611	5115
random99	HD2_scaffold_5	10137026	10151045	+	14020	2568
random100	HD2_scaffold_9	3376256	3378094	+	1839	392
random101	HD2_scaffold_10	8250580	8251668	+	1089	208
random102	HD2_scaffold_11	425483	427210	+	1728	306
random103	HD2_scaffold_7	5224399	5226028	+	1630	349
random104	HD2_scaffold_3	19710014	19735445	+	25432	4258
random105	HD2_scaffold_12	5844469	5847723	+	3255	389
random106	HD2_scaffold_3	18809799	18825610	+	15812	2722
random107	HD2_scaffold_3	4926037	4927953	+	1917	409
random108	HD2_scaffold_8	7849903	7852373	+	2471	383
random109	HD2_scaffold_1	25121289	25147899	+	26611	4689
random110	HD2_scaffold_4	5740839	5754858	+	14020	2500
random111	HD2_scaffold_1	24617060	24618898	+	1839	426
random112	HD2_scaffold_8	2933938	2935026	+	1089	280
random113	HD2_scaffold_1	12679474	12681201	+	1728	452
random114	HD2_scaffold_7	10579724	10581353	+	1630	361
random115	HD2_scaffold_1	9339692	9365123	+	25432	4760
random116	HD2_scaffold_10	9983420	9986674	+	3255	712
random117	HD2_scaffold_9	228567	244378	+	15812	3041
random118	HD2_scaffold_9	10803530	10805446	+	1917	261
random119	HD2_scaffold_10	11520043	11522513	+	2471	221
random120	HD2_scaffold_6	3498595	3525205	+	26611	5027
random121	HD2_scaffold_4	15679869	15693888	+	14020	2782
random122	HD2_scaffold_4	14222535	14224373	+	1839	322
random123	HD2_scaffold_1	17023581	17024669	+	1089	247
random124	HD2_scaffold_2	12375450	12377177	+	1728	407
random125	HD2_scaffold_290	8015	9644	+	1630	0
random126	HD2_scaffold_4	13813880	13839311	+	25432	4609
random127	HD2_scaffold_8	7637752	7641006	+	3255	533
random128	HD2_scaffold_56	1975	17786	+	15812	3818
random129	HD2_scaffold_5	3717375	3719291	+	1917	396
random130	HD2_scaffold_5	14236694	14239164	+	2471	346
random131	HD2_scaffold_7	13264050	13290660	+	26611	4589
random132	HD2_scaffold_2	19800034	19814053	+	14020	2624
random133	HD2_scaffold_10	8442122	8443960	+	1839	360
random134	HD2_scaffold_10	5531953	5533041	+	1089	301
random135	HD2_scaffold_5	6496281	6498008	+	1728	402
random136	HD2_scaffold_12	4142280	4143909	+	1630	342
random137	HD2_scaffold_5	9816324	9841755	+	25432	4888
random138	HD2_scaffold_195	6828	10082	+	3255	1053
random139	HD2_scaffold_1	19426094	19441905	+	15812	3201
random140	HD2_scaffold_7	12013484	12015400	+	1917	355
random141	HD2_scaffold_9	3464857	3467327	+	2471	492
random142	HD2_scaffold_10	7267060	7293670	+	26611	5002
random143	HD2_scaffold_10	5745079	5759098	+	14020	2745
random144	HD2_scaffold_4	13008977	13010815	+	1839	355
random145	HD2_scaffold_2	2225566	2226654	+	1089	156
random146	HD2_scaffold_12	5293418	5295145	+	1728	330
random147	HD2_scaffold_10	2961903	2963532	+	1630	233
random148	HD2_scaffold_12	1543489	1568920	+	25432	4282
random149	HD2_scaffold_46	12214	15468	+	3255	546
random150	HD2_scaffold_4	6552842	6568653	+	15812	3235
random151	HD2_scaffold_42	15563	17479	+	1917	351
random152	HD2_scaffold_7	9441619	9444089	+	2471	545
random153	HD2_scaffold_5	13487249	13513859	+	26611	6169
random154	HD2_scaffold_4	10543036	10557055	+	14020	2725
random155	HD2_scaffold_3	6927406	6929244	+	1839	426
random156	HD2_scaffold_10	11051176	11052264	+	1089	244
random157	HD2_scaffold_10	6319561	6321288	+	1728	401
random158	HD2_scaffold_11	26574	28203	+	1630	232
random159	HD2_scaffold_8	1144457	1169888	+	25432	4891
random160	HD2_scaffold_1	3922825	3926079	+	3255	640
random161	HD2_scaffold_4	15004780	15020591	+	15812	2547
random162	HD2_scaffold_3	12737045	12738961	+	1917	375
random163	HD2_scaffold_10	7061364	7063834	+	2471	569
random164	HD2_scaffold_5	13265670	13292280	+	26611	4367
random165	HD2_scaffold_10	317127	331146	+	14020	3194
random166	HD2_scaffold_2	11025800	11027638	+	1839	394
random167	HD2_scaffold_188	11552	12640	+	1089	125
random168	HD2_scaffold_3	13295522	13297249	+	1728	271
random169	HD2_scaffold_2	3210962	3212591	+	1630	364
random170	HD2_scaffold_1	17377155	17402586	+	25432	4413
random171	HD2_scaffold_3	10029408	10032662	+	3255	621
random172	HD2_scaffold_6	630195	646006	+	15812	2276
random173	HD2_scaffold_1	28375569	28377485	+	1917	404
random174	HD2_scaffold_3	15521287	15523757	+	2471	465
random175	HD2_scaffold_10	3625057	3651667	+	26611	15286
random176	HD2_scaffold_3	18465263	18479282	+	14020	2157
