# Program:featureCounts v2.0.1; Command:"featureCounts" "GFP_4.bam" "-a" "Hd2_broadpeaks.gtf" "-o" "GFP_4.Hd2_broadpeaks.counts.txt" "-t" "MACS2 peak" "-g" "peak" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	GFP_4.bam
Hd26	HD2_scaffold_1	13517317	13534392	+	17076	330002
Hd38	HD2_scaffold_1	20656417	20681709	+	25293	470060
Hd36	HD2_scaffold_1	20656417	20681709	+	25293	470060
Hd50	HD2_scaffold_1	27241046	27259533	+	18488	51331
Hd49	HD2_scaffold_2	2117165	2135110	+	17946	229611
IVSP_U37	HD2_scaffold_2	2728207	2758008	+	29802	196487
Hd46	HD2_scaffold_2	2728207	2758008	+	29802	196487
Hd43	HD2_scaffold_2	2728207	2758008	+	29802	196487
Hd22	HD2_scaffold_2	5832207	5850065	+	17859	68112
Hd44.1	HD2_scaffold_2	16278981	16302690	+	23710	97262
Hd44.2	HD2_scaffold_2	16278981	16302690	+	23710	97262
Hd30	HD2_scaffold_3	410434	429813	+	19380	448670
Hd48	HD2_scaffold_3	16679121	16706535	+	27415	119048
Hd19	HD2_scaffold_4	6229498	6243248	+	13751	128476
Hd41	HD2_scaffold_4	12113372	12135096	+	21725	287289
Hd45.2	HD2_scaffold_4	12321418	12340715	+	19298	24270
Hd13	HD2_scaffold_5	5869105	5889886	+	20782	158880
Hd40	HD2_scaffold_6	2983699	2997266	+	13568	15297
Hd9	HD2_scaffold_6	7223110	7254609	+	31500	155709
IVSP_U42*	HD2_scaffold_6	9075600	9095671	+	20072	7213
Hd1	HD2_scaffold_6	11702950	11728752	+	25803	251071
Hd31-34	HD2_scaffold_6	11862430	11878832	+	16403	342343
IVSP_U38*	HD2_scaffold_7	4758477	4776797	+	18321	9412
Hd27	HD2_scaffold_7	6688177	6708677	+	20501	826701
Hd52*	HD2_scaffold_7	6765613	6783734	+	18122	52743
Hd5	HD2_scaffold_7	7078958	7104504	+	25547	198983
Hd47	HD2_scaffold_7	7894307	7912018	+	17712	102148
IVSPER-5	HD2_scaffold_7	9168108	9191030	+	22923	9463
IVSPER-3	HD2_scaffold_7	9243166	9287918	+	44753	352206
IVSP_U39*	HD2_scaffold_7	11738062	11764025	+	25964	31007
IVSPER-4	HD2_scaffold_7	13176550	13216107	+	39558	50598
Hd7	HD2_scaffold_7	13965551	13978603	+	13053	72161
Hd2	HD2_scaffold_7	14079432	14106161	+	26730	350418
Hd6	HD2_scaffold_7	14218171	14238167	+	19997	232116
Hd20	HD2_scaffold_8	1934960	1956552	+	21593	100616
Hd8	HD2_scaffold_8	6818165	6837954	+	19790	187477
Hd4	HD2_scaffold_8	7090110	7114242	+	24133	500736
Hd17	HD2_scaffold_8	9006318	9026009	+	19692	228941
Hd54*	HD2_scaffold_8	9208814	9228042	+	19229	145086
Hd18	HD2_scaffold_8	9360612	9376778	+	16167	310047
IVSP_U40*	HD2_scaffold_9	5714059	5757032	+	42974	114181
Hd39	HD2_scaffold_9	5714059	5757032	+	42974	114181
IVSP_U41*	HD2_scaffold_9	7040265	7060018	+	19754	8938
Hd23.2	HD2_scaffold_10	3545352	3561495	+	16144	25401
Hd23.1	HD2_scaffold_10	3587203	3605012	+	17810	105217
Hd25	HD2_scaffold_10	9393559	9412007	+	18449	167630
Hd10	HD2_scaffold_11	447712	465323	+	17612	175533
Hd11	HD2_scaffold_11	764311	783916	+	19606	229136
Hd16	HD2_scaffold_11	2257264	2292899	+	35636	956047
Hd12	HD2_scaffold_11	2257264	2292899	+	35636	956047
Hd29	HD2_scaffold_11	3139131	3193136	+	54006	466095
IVSPER-2	HD2_scaffold_11	3139131	3193136	+	54006	466095
Hd24	HD2_scaffold_11	3139131	3193136	+	54006	466095
Hd33	HD2_scaffold_11	3229681	3277203	+	47523	335974
Hd15	HD2_scaffold_11	3229681	3277203	+	47523	335974
IVSPER-1	HD2_scaffold_11	3229681	3277203	+	47523	335974
Hd14	HD2_scaffold_11	3753870	3770377	+	16508	147604
Hd32	HD2_scaffold_11	3807216	3823379	+	16164	259963
Hd42	HD2_scaffold_11	6039490	6052307	+	12818	46355
Hd21	HD2_scaffold_11	6067122	6086904	+	19783	127915
Hd53*	HD2_scaffold_11	6177710	6199505	+	21796	68866
Hd3	HD2_scaffold_11	6678585	6701155	+	22571	737951
Hd37	HD2_scaffold_11	6779687	6795693	+	16007	89812
Hd28	HD2_scaffold_12	305632	316324	+	10693	13711
Hd35	HD2_scaffold_12	2935430	2954029	+	18600	336404
