# Program:featureCounts v2.0.1; Command:"featureCounts" "../St3.bam" "-a" "Hd2_EVErep.randoms.gff" "-o" "St3.Hd2_EVErep.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../St3.bam
random1	HD2_scaffold_332	738	5755	+	5018	2308
random2	HD2_scaffold_7	5992302	5995965	+	3664	3391
random3	HD2_scaffold_3	20241332	20245069	+	3738	3395
random4	HD2_scaffold_257	6466	12252	+	5787	3716
random5	HD2_scaffold_3	5794084	5799348	+	5265	5192
random6	HD2_scaffold_2	21237658	21241766	+	4109	4343
random7	HD2_scaffold_8	9466517	9470675	+	4159	4446
random8	HD2_scaffold_17	41640	45817	+	4178	3824
random9	HD2_scaffold_4	1326821	1329829	+	3009	3476
random10	HD2_scaffold_10	4273299	4278129	+	4831	4467
random11	HD2_scaffold_12	4164660	4168823	+	4164	3607
random12	HD2_scaffold_4	14377630	14387302	+	9673	9669
random13	HD2_scaffold_193	6282	10721	+	4440	2463
random14	HD2_scaffold_1	16330332	16338284	+	7953	7644
random15	HD2_scaffold_1	26011805	26013855	+	2051	1927
random16	HD2_scaffold_8	4637727	4641940	+	4214	3756
random17	HD2_scaffold_7	13407392	13413148	+	5757	5217
random18	HD2_scaffold_5	7474149	7477642	+	3494	3591
random19	HD2_scaffold_1	1437395	1455286	+	17892	16617
random20	HD2_scaffold_1	11675024	11689794	+	14771	12609
random21	HD2_scaffold_2	22594845	22598963	+	4119	4271
random22	HD2_scaffold_1	12837097	12841098	+	4002	3815
random23	HD2_scaffold_1	18940608	18944678	+	4071	3830
random24	HD2_scaffold_4	8083503	8097215	+	13713	13529
random25	HD2_scaffold_7	13609309	13613811	+	4503	4269
random26	HD2_scaffold_2	13909915	13917980	+	8066	7820
random27	HD2_scaffold_5	11100726	11114662	+	13937	12895
random28	HD2_scaffold_40	38274	48734	+	10461	5357
random29	HD2_scaffold_2	10171607	10173143	+	1537	1605
random30	HD2_scaffold_4	1228545	1235408	+	6864	6368
random31	HD2_scaffold_3	8848893	8856248	+	7356	7072
random32	HD2_scaffold_1	23429177	23439502	+	10326	8941
random33	HD2_scaffold_4	2668543	2676272	+	7730	7163
random34	HD2_scaffold_8	1636673	1642591	+	5919	5603
random35	HD2_scaffold_11	1919705	1924400	+	4696	4440
random36	HD2_scaffold_6	6457432	6461553	+	4122	4189
random37	HD2_scaffold_3	1455178	1458539	+	3362	3110
random38	HD2_scaffold_9	5388312	5392768	+	4457	4299
random39	HD2_scaffold_2	13851103	13855276	+	4174	4087
random40	HD2_scaffold_4	11494778	11501284	+	6507	6344
random41	HD2_scaffold_3	10820380	10829569	+	9190	8017
random42	HD2_scaffold_12	6363272	6370975	+	7704	6956
random43	HD2_scaffold_9	1690354	1696255	+	5902	5494
random44	HD2_scaffold_11	2422481	2426836	+	4356	3993
random45	HD2_scaffold_1	2179662	2184358	+	4697	5554
random46	HD2_scaffold_2	11222532	11226366	+	3835	3391
random47	HD2_scaffold_2	11427185	11432171	+	4987	5278
random48	HD2_scaffold_3	13605758	13610953	+	5196	4819
random49	HD2_scaffold_25	40194	48109	+	7916	9104
random50	HD2_scaffold_2	4509436	4512592	+	3157	3162
random51	HD2_scaffold_3	3942190	3946557	+	4368	4004
random52	HD2_scaffold_3	20826448	20831796	+	5349	7122
random53	HD2_scaffold_11	1836705	1846718	+	10014	9234
random54	HD2_scaffold_9	12099655	12103362	+	3708	6112
random55	HD2_scaffold_6	5120063	5124676	+	4614	7002
random56	HD2_scaffold_9	6850485	6854194	+	3710	3069
random57	HD2_scaffold_9	5825005	5830022	+	5018	4900
random58	HD2_scaffold_6	1431967	1435630	+	3664	3062
random59	HD2_scaffold_1	6466982	6470719	+	3738	4064
random60	HD2_scaffold_4	12177446	12183232	+	5787	4987
random61	HD2_scaffold_225	9155	14419	+	5265	5510
random62	HD2_scaffold_4	3886203	3890311	+	4109	4320
random63	HD2_scaffold_12	6580454	6584612	+	4159	4148
random64	HD2_scaffold_10	4197396	4201573	+	4178	4298
random65	HD2_scaffold_4	2269870	2272878	+	3009	3011
random66	HD2_scaffold_2	2261622	2266452	+	4831	4374
random67	HD2_scaffold_1	19909336	19913499	+	4164	4070
random68	HD2_scaffold_11	6746702	6756374	+	9673	5947
random69	HD2_scaffold_9	6399764	6404203	+	4440	4277
random70	HD2_scaffold_3	6737899	6745851	+	7953	7642
random71	HD2_scaffold_7	12877637	12879687	+	2051	2103
random72	HD2_scaffold_14	9156	13369	+	4214	5523
random73	HD2_scaffold_1	22738670	22744426	+	5757	5351
random74	HD2_scaffold_10	4693434	4696927	+	3494	3302
random75	HD2_scaffold_1	11241149	11259040	+	17892	16735
random76	HD2_scaffold_10	6480685	6495455	+	14771	13354
random77	HD2_scaffold_7	6488358	6492476	+	4119	3918
random78	HD2_scaffold_10	4419677	4423678	+	4002	3882
random79	HD2_scaffold_2	8738574	8742644	+	4071	3873
random80	HD2_scaffold_3	2557514	2571226	+	13713	13227
random81	HD2_scaffold_10	4994083	4998585	+	4503	4451
random82	HD2_scaffold_8	11095442	11103507	+	8066	7337
