# Program:featureCounts v2.0.1; Command:"featureCounts" "../GFP_3.bam" "-a" "Hd2_IVSPER2.randoms.gff" "-o" "GFP_3.Hd2_IVSPER2.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../GFP_3.bam
random1	HD2_scaffold_6	4699611	4701449	+	1839	530
random2	HD2_scaffold_11	2077930	2079018	+	1089	278
random3	HD2_scaffold_1	28423600	28425327	+	1728	804
random4	HD2_scaffold_1	29139546	29141175	+	1630	690
random5	HD2_scaffold_4	11982158	12007589	+	25432	6178
random6	HD2_scaffold_2	6875849	6879103	+	3255	822
random7	HD2_scaffold_3	11948481	11964292	+	15812	3526
random8	HD2_scaffold_7	7185387	7187303	+	1917	554
random9	HD2_scaffold_4	320891	323361	+	2471	609
random10	HD2_scaffold_34	14864	41474	+	26611	17331
random11	HD2_scaffold_1	24639844	24653863	+	14020	3454
random12	HD2_scaffold_3	14691829	14693667	+	1839	539
random13	HD2_scaffold_5	2152136	2153224	+	1089	390
random14	HD2_scaffold_8	4422868	4424595	+	1728	475
random15	HD2_scaffold_3	17841947	17843576	+	1630	411
random16	HD2_scaffold_4	10390933	10416364	+	25432	6328
random17	HD2_scaffold_15	41053	44307	+	3255	3840
random18	HD2_scaffold_2	10399797	10415608	+	15812	3774
random19	HD2_scaffold_3	12333179	12335095	+	1917	499
random20	HD2_scaffold_7	9098808	9101278	+	2471	669
random21	HD2_scaffold_5	8240168	8266778	+	26611	6475
random22	HD2_scaffold_69	24293	38312	+	14020	12276
random23	HD2_scaffold_9	12096038	12097876	+	1839	577
random24	HD2_scaffold_12	3450643	3451731	+	1089	291
random25	HD2_scaffold_166	10779	12506	+	1728	520
random26	HD2_scaffold_1	12683527	12685156	+	1630	407
random27	HD2_scaffold_7	10527115	10552546	+	25432	6357
random28	HD2_scaffold_8	6367114	6370368	+	3255	880
random29	HD2_scaffold_3	8519535	8535346	+	15812	3850
random30	HD2_scaffold_5	7348523	7350439	+	1917	544
random31	HD2_scaffold_11	3346209	3348679	+	2471	566
random32	HD2_scaffold_6	14213298	14239908	+	26611	6296
random33	HD2_scaffold_4	5157868	5171887	+	14020	3504
random34	HD2_scaffold_184	11398	13236	+	1839	5304
random35	HD2_scaffold_3	19988206	19989294	+	1089	105
random36	HD2_scaffold_5	10674600	10676327	+	1728	465
random37	HD2_scaffold_7	4582875	4584504	+	1630	412
random38	HD2_scaffold_6	12645970	12671401	+	25432	6288
random39	HD2_scaffold_9	2926802	2930056	+	3255	875
random40	HD2_scaffold_9	8645337	8661148	+	15812	3453
random41	HD2_scaffold_9	3884271	3886187	+	1917	479
random42	HD2_scaffold_1	2878928	2881398	+	2471	394
random43	HD2_scaffold_2	6717051	6743661	+	26611	6423
random44	HD2_scaffold_5	12987261	13001280	+	14020	2664
random45	HD2_scaffold_2	13803593	13805431	+	1839	522
random46	HD2_scaffold_2	15159033	15160121	+	1089	335
random47	HD2_scaffold_1	1691112	1692839	+	1728	215
random48	HD2_scaffold_1	20761001	20762630	+	1630	463
random49	HD2_scaffold_11	1229674	1255105	+	25432	6236
random50	HD2_scaffold_4	1857674	1860928	+	3255	793
random51	HD2_scaffold_9	12094859	12110670	+	15812	4210
random52	HD2_scaffold_4	5282750	5284666	+	1917	543
random53	HD2_scaffold_5	8500201	8502671	+	2471	669
random54	HD2_scaffold_5	4746524	4773134	+	26611	6485
random55	HD2_scaffold_1	17326560	17340579	+	14020	4841
random56	HD2_scaffold_1	10839709	10841547	+	1839	542
random57	HD2_scaffold_4	9108072	9109160	+	1089	388
random58	HD2_scaffold_2	22626379	22628106	+	1728	483
random59	HD2_scaffold_8	12140787	12142416	+	1630	526
random60	HD2_scaffold_1	7137240	7162671	+	25432	6039
random61	HD2_scaffold_7	3903549	3906803	+	3255	826
random62	HD2_scaffold_8	9611160	9626971	+	15812	3665
random63	HD2_scaffold_6	10795884	10797800	+	1917	384
random64	HD2_scaffold_6	11490074	11492544	+	2471	599
random65	HD2_scaffold_10	6704855	6731465	+	26611	6601
random66	HD2_scaffold_11	584830	598849	+	14020	3486
random67	HD2_scaffold_376	8526	10364	+	1839	736
random68	HD2_scaffold_1	27199843	27200931	+	1089	312
random69	HD2_scaffold_8	1023712	1025439	+	1728	458
random70	HD2_scaffold_4	13026256	13027885	+	1630	429
random71	HD2_scaffold_5	11915450	11940881	+	25432	6151
random72	HD2_scaffold_10	2000434	2003688	+	3255	837
random73	HD2_scaffold_10	2301037	2316848	+	15812	3726
random74	HD2_scaffold_9	5923748	5925664	+	1917	538
random75	HD2_scaffold_8	5689450	5691920	+	2471	621
random76	HD2_scaffold_1	24595899	24622509	+	26611	6539
random77	HD2_scaffold_3	18247163	18261182	+	14020	3456
random78	HD2_scaffold_7	3088251	3090089	+	1839	491
random79	HD2_scaffold_8	9996649	9997737	+	1089	306
random80	HD2_scaffold_5	3195250	3196977	+	1728	472
random81	HD2_scaffold_6	8247175	8248804	+	1630	473
random82	HD2_scaffold_2	3547385	3572816	+	25432	5872
random83	HD2_scaffold_1	11874856	11878110	+	3255	819
random84	HD2_scaffold_4	8860739	8876550	+	15812	3815
random85	HD2_scaffold_1	19238879	19240795	+	1917	491
random86	HD2_scaffold_2	4435867	4438337	+	2471	624
random87	HD2_scaffold_1	1592295	1618905	+	26611	4600
random88	HD2_scaffold_9	3269937	3283956	+	14020	3361
random89	HD2_scaffold_7	11727714	11729552	+	1839	503
random90	HD2_scaffold_7	4794061	4795149	+	1089	244
random91	HD2_scaffold_7	10761775	10763502	+	1728	492
random92	HD2_scaffold_10	11261159	11262788	+	1630	242
random93	HD2_scaffold_3	2988316	3013747	+	25432	6523
random94	HD2_scaffold_12	1263231	1266485	+	3255	710
random95	HD2_scaffold_1	2978816	2994627	+	15812	3414
random96	HD2_scaffold_70	1036	2952	+	1917	865
random97	HD2_scaffold_3	4247149	4249619	+	2471	561
random98	HD2_scaffold_6	8968416	8995026	+	26611	6483
random99	HD2_scaffold_5	10137026	10151045	+	14020	3400
random100	HD2_scaffold_9	3376256	3378094	+	1839	499
random101	HD2_scaffold_10	8250580	8251668	+	1089	329
